Series,Agricultural land,Agriculture,CO2 emissions,Exports of goods and services,Fertility rate,Fixed line and mobile phone,Foreign direct investment,GDP,GDP growth,GNI per capita,GNI,Gross capital formation,"Immunization, measles ",Imports of goods and services ,Industry,Inflation,Internet users,Life expectancy ,Long-term debt ,Merchandise trade,Military expenditure,Net barter,Official development assistance,Personal computers,Population growth,Population,Services,Short-term debt,Surface area,ln GNI,pop/area
Angola,46,8,1,78,7,15,1672000000,1.08E+10,14,610,8.89E+09,13,74,66,65,109,3,41,7.98E+09,112,2,89,421369984,2,3,14618782,27,1208400000,1246700,6.41346,11.726
Benin,30,34,0,14,6,37,18000000,2.81E+09,5,330,2.52E+09,18,78,27,14,8,7,54,1.69E+09,40,*,88,216290000,2,3,7666962,53,73600000,112620,5.79909,68.078
Botswana,46,3,2,46,3,326,403000000,5.42E+09,5,2700,4.78E+09,28,90,35,51,8,34,37,4.72E+08,79,4,97,37560000,40,0,1771008,46,16000000,581730,7.90101,3.044
Burkina Faso,39,31,0,8,7,15,15026000,3.20E+09,4,250,2.96E+09,18,64,22,18,4,2,47,1.41E+09,31,1,91,472729984,2,3,12022321,51,12900000,274000,5.52146,43.877
Burundi,91,41,0,6,7,11,1000,6.28E+08,4,100,6.66E+08,6,75,24,19,2,1,43,1.10E+09,25,8,76,172120000,1,3,6818131,41,96300000,27830,4.60517,244.992
Cameroon,20,40,0,20,5,53,1000,1.09E+10,4,640,9.82E+09,20,53,21,16,3,4,46,7.47E+09,34,1,98,657059968,6,2,15454616,44,778800000,475440,6.46147,32.506
Cape Verde,18,7,0,31,4,240,15000000,6.16E+08,5,1210,5.71E+08,21,85,68,16,2,34,70,3.85E+08,47,1,95,92190000,74,2,472372,77,25200000,4030,7.09838,117.214
Central African Republic,8,57,0,12,5,6,5644000,1.05E+09,-1,250,9.69E+08,15,35,17,22,4,1,39,9.80E+08,26,1,93,59800000,2,1,3887379,21,51700000,622980,5.52146,6.24
Chad,39,40,0,13,*,5,924060032,1.98E+09,8,200,1.74E+09,61,55,*,16,2,2,44,1.19E+09,92,1,84,228990000,1,4,8814445,45,25700000,1284000,5.29832,6.865
Comoros,66,41,0,16,4,18,430000,2.47E+08,2,400,2.24E+08,12,71,26,12,4,6,61,2.45E+08,29,*,56,32460000,7,2,563633,47,29600000,2230,5.99146,252.75
"Congo, Dem. Rep.",10,51,0,21,7,11,117000000,5.55E+09,4,90,4.56E+09,9,45,26,21,32,1,43,8.85E+09,40,*,94,1187750016,*,3,52705820,27,643100032,2344860,4.49981,22.477
"Congo, Rep.",31,6,1,81,6,67,331000000,3.02E+09,5,620,2.25E+09,23,37,54,63,-2,1,52,3.97E+09,111,*,89,57390000,4,3,3657416,30,1145299968,342000,6.42972,10.694
Cote d'Ivoire,63,25,0,50,5,78,213000000,1.15E+10,-2,570,9.93E+09,10,56,33,20,5,5,46,1.04E+10,67,*,135,1068760000,9,2,17336376,55,931600000,322460,6.34564,53.763
Equatorial Guinea,12,9,0,*,6,87,323392000,2.12E+09,18,*,*,*,51,*,86,1,4,43,2.09E+08,124,*,91,20220000,7,2,470228,5,50100000,28050,*,16.764
Eritrea,75,13,0,20,6,9,20000000,6.31E+08,1,170,6.52E+08,26,84,80,25,15,2,53,4.89E+08,94,24,95,230430000,3,4,3875007,62,31100000,117600,5.1358,32.951
Ethiopia,31,42,0,13,6,6,255000000,7.34E+09,0,120,7.74E+09,24,57,28,15,-5,1,42,6.32E+09,29,5,86,1306680064,1,2,67217840,43,64000000,1104300,4.78749,60.869
Gabon,20,8,3,59,4,236,46000000,4.97E+09,0,2990,3.95E+09,28,55,39,46,9,19,55,3.24E+09,68,2,90,71930000,19,2,1319952,46,237800000,267670,8.00303,4.931
"Gambia, The",78,28,0,42,5,99,42827000,3.70E+08,-3,270,3.72E+08,21,90,51,15,16,18,55,5.07E+08,43,1,108,60540000,14,3,1397295,58,37400000,11300,5.59842,123.654
Ghana,65,36,0,42,4,32,59000000,6.16E+09,4,270,5.50E+09,20,83,54,24,23,8,57,6.01E+09,74,1,120,649750016,4,2,20758472,40,589600000,238540,5.59842,87.023
Guinea,50,24,0,24,6,13,30000000,3.21E+09,4,360,3.17E+09,13,70,28,37,3,4,54,2.97E+09,43,3,104,249600000,5,2,8806819,39,289400000,245860,5.8861,35.82
Guinea-Bissau,58,55,0,30,7,8,3545000,2.01E+08,-7,130,1.85E+08,10,47,52,13,4,10,45,6.62E+08,56,*,91,59400000,*,3,1449039,32,13700000,36120,4.86753,40.117
Kenya,46,28,0,25,5,47,28000000,1.32E+10,0,400,1.29E+10,16,72,28,17,1,12,47,5.32E+09,41,2,90,393510016,6,2,32039836,55,764899968,580370,5.99146,55.206
Lesotho,77,18,*,56,4,70,84000000,6.99E+08,3,540,9.64E+08,42,70,116,42,8,12,36,6.32E+08,169,3,102,76420000,*,0,1799710,40,4000000,30350,6.29157,59.299
Liberia,27,76,0,20,7,*,2800000,5.59E+08,4,140,4.59E+08,5,57,28,8,26,*,42,1.06E+09,153,7,*,52480000,*,1,3206295,16,955699968,111370,4.94164,28.79
Madagascar,47,32,0,16,*,13,8000000,4.40E+09,-13,220,3.84E+09,14,58,23,14,15,3,55,4.13E+09,25,*,90,372580000,4,3,17143872,54,231400000,587040,5.39363,29.204
Malawi,46,39,0,24,6,13,6000000,1.93E+09,3,140,1.73E+09,11,69,46,16,16,2,40,2.67E+09,57,1,91,377120000,1,2,12069949,45,122300000,118480,4.94164,101.873
Mali,28,35,0,32,7,9,244000000,3.34E+09,4,220,2.70E+09,19,64,39,28,16,2,48,2.52E+09,54,2,97,466689984,1,3,12357870,37,143800000,1240190,5.39363,9.964
Mauritania,39,20,1,*,6,99,117600000,1.12E+09,2,450,1.25E+09,*,81,*,32,6,4,52,1.91E+09,61,2,94,345280000,10,3,2807142,48,214400000,1025520,6.10925,2.737
Mauritius,56,7,3,61,2,558,32000000,4.56E+09,3,3820,4.63E+09,21,84,57,31,7,103,72,9.16E+08,87,0,98,23920000,149,1,1210000,62,892200000,2040,8.24801,593.137
Mozambique,62,24,0,29,6,18,348000000,4.09E+09,8,210,4.00E+09,30,77,48,26,17,3,42,4.03E+09,60,1,88,2202720000,4,2,18676462,49,366700000,801590,5.34711,23.299
Namibia,47,11,1,50,4,138,*,3.12E+09,7,1740,3.41E+09,20,68,52,32,11,26,49,*,81,3,98,135140000,68,2,1960077,57,*,824290,7.46164,2.378
Niger,30,40,0,15,8,3,2000000,2.17E+09,3,160,2.00E+09,14,48,24,17,3,1,44,1.66E+09,34,1,102,298460000,1,3,12616539,43,27500000,1267000,5.07517,9.958
Nigeria,79,31,0,41,6,19,1874000000,4.67E+10,2,320,3.96E+10,26,35,41,44,4,3,43,2.82E+10,48,2,90,313820000,7,2,123134336,25,2270200064,923770,5.76832,133.295
Rwanda,75,41,0,8,6,12,3000000,1.73E+09,9,210,1.85E+09,17,69,25,21,0,3,44,1.31E+09,18,3,86,355040000,*,3,8613903,37,45500000,26340,5.34711,327.027
Sao Tome and Principe,57,18,1,37,4,56,3000000,5.36E+07,4,330,4.78E+07,33,85,87,16,11,75,63,3.17E+08,67,*,186,26010000,*,2,145984,67,22900000,960,5.79909,152.067
Senegal,42,16,0,31,5,63,78000000,4.98E+09,1,420,4.58E+09,17,54,42,20,3,10,56,3.57E+09,62,1,96,445200000,18,2,10856300,64,294200000,196720,6.04025,55.187
Seychelles,15,3,6,80,2,788,61000000,6.98E+08,1,6840,5.72E+08,26,98,82,30,4,140,73,4.27E+08,93,2,93,7850000,155,3,83700,67,107500000,460,8.83054,181.957
Sierra Leone,39,48,0,16,7,19,2000000,9.36E+08,27,190,9.29E+08,10,62,36,25,-4,2,41,1.26E+09,33,2,80,353380000,*,4,4892425,27,13200000,71740,5.24702,68.197
Somalia,70,*,*,*,6,18,140000,*,*,*,*,*,45,*,*,*,12,46,1.86E+09,*,*,*,193780000,2,3,7461468,*,676700032,637660,*,11.701
South Africa,82,4,8,33,3,409,735000000,1.11E+11,4,2630,1.19E+11,16,78,29,33,11,68,46,1.76E+10,53,2,103,505430016,73,1,45345288,63,7400000000,1219090,7.87474,37.196
Sudan,56,42,0,13,4,25,713000000,1.51E+10,6,380,1.31E+10,19,49,19,20,8,9,56,1.14E+10,29,3,91,350889984,6,2,34213148,38,5305900032,2505810,5.94017,13.654
Swaziland,81,14,1,95,4,95,89000000,1.19E+09,3,1180,1.29E+09,20,94,95,47,13,18,44,3.36E+08,165,*,96,22490000,23,2,1088176,40,6300000,17360,7.07327,62.683
Tanzania,54,45,0,17,5,25,243000000,9.77E+09,7,290,9.89E+09,19,89,25,16,6,2,46,5.74E+09,26,1,95,1232749952,4,2,36204928,39,701800000,945090,5.66988,38.308
Togo,67,38,0,34,5,39,54000000,1.48E+09,4,240,1.37E+09,19,48,52,19,1,35,54,1.34E+09,69,*,30,51020000,26,3,5683530,43,197800000,56790,5.48064,100.08
Uganda,62,31,0,12,7,17,185000000,5.85E+09,6,230,5.97E+09,19,77,27,22,-4,4,47,3.58E+09,26,2,89,711830016,3,3,25964900,47,158500000,241040,5.43808,107.72
Zambia,47,22,0,24,6,20,82000000,3.70E+09,3,310,3.46E+09,23,84,29,26,20,5,37,5.38E+09,59,*,92,640640000,7,2,11101816,52,72700000,752610,5.73657,14.751
Zimbabwe,53,14,1,7,4,49,25900000,3.09E+10,-4,890,1.14E+10,7,60,8,20,151,39,37,3.10E+09,10,2,96,200550000,47,1,12785585,66,502000000,390760,6.79122,32.72
